Analysis Series,Model Name,Type,R2,MSE,RMSE,MAE
Sex Impact,COVID-RMA001,Linear Regression,0.23,789001641.5,28089.17303,21189.57
Sex Impact,COVID-RMA002,Linear Regression,0.18,843555118.6,29044.02036,20991.71
Sex Impact,COVID-RMA003,Linear Regression,0.06,971845853.3,31174.44231,23720.35
Sex Impact,COVID-RMA004,Linear Regression,0,1025673656,32026.1402,24191.3
Sex Impact,COVID-RMA005,Linear Regression,0.13,192669864.5,13880.55707,11549.41
Sex Impact,COVID-RMA006,Linear Regression,0.01,218468738.8,14780.68804,12099.62
Sex Impact,COVID-RMA007,Linear Regression,0.12,193781104.3,13920.52816,11590.38
Sex Impact,COVID-RMA008,Linear Regression,0,219519568,14816.19276,12140.02
Sex Impact,COVID-RMA009,Linear Regression,0.72,285544521.6,16898.06266,12507.01
Sex Impact,COVID-RMA010,Ridge Regression,0.72,285568354.8,16898.76785,12504.66
Sex Impact,COVID-RMA011,Logistic Regression,0.01,1581811440,39771.99316,24436.9
Sex Impact,COVID-RMA012,Lasso Regression,0.72,285578027.1,16899.05403,12504.84
Sex Impact,COVID-RMA013,Lasso Regression,0.72,286874914.5,16937.38216,12517.37
Sex Impact,COVID-RMA014,Support Vector Regression,-0.18,1103690743,33221.84135,19838.7
Sex Impact,COVID-RMA015,Elastic Net Regression,0.05,889099287.4,29817.76798,22951.4
Sex Impact,COVID-RMA016,Elastic Net Regression,0.05,973540895.9,31201.61688,23527.81
Sex Impact,COVID-RMA017,Bayesian Ridge Regression,0.72,285558920.8,16898.48871,12505.42
Sex Impact,COVID-RMA018,Bayesian Ridge Regression,0.68,325810485,18050.22119,13647.62
Sex Impact,COVID-RMA019,Ridge Regression,0.68,325810538.4,18050.22267,13647.74
Sex Impact,COVID-RMA020,Linear Regression,0.68,325810547.9,18050.22293,13647.85
Variant Impact,COVID-RMA021,Linear Regression,0.89,81537942785,285548.4946,231023.47
Variant Impact,COVID-RMA022,Ridge Regression,0.89,81514486075,285507.4186,230971.8
Variant Impact,COVID-RMA023,Bayesian Ridge Regression,0.48,3.90E+11,624499.7998,496343.6
Variant Impact,COVID-RMA024,Lasso Regression,0.89,81537592910,285547.882,231022.54
Variant Impact,COVID-RMA025,Ridge Regression,0.99,263693.62,513.511071,399.2
Variant Impact,COVID-RMA026,Lasso Regression,0.99,263811.7,513.6260313,399.36
Variant Impact,COVID-RMA027,Linear Regression,0.99,264056.58,513.8643595,399.3
Variant Impact,COVID-RMA028,Bayesian Ridge Regression,0.22,25527367.18,5052.461497,4199.26
Variant Impact,COVID-RMA029,Ridge Regression,0.94,40757374884,201884.5583,115685.5
Variant Impact,COVID-RMA030,Lasso Regression,0.94,40768928361,201913.1704,115710.95
Variant Impact,COVID-RMA031,Linear Regression,0.94,40769103421,201913.6039,115711.39
Variant Impact,COVID-RMA032,Elastic Net Regression,0.63,80063235873,282954.4767,146610.18
Vaccine Impact,COVID-RMA033,Ridge Regression,0.9,76501919948,276589.8045,217752.55
Vaccine Impact,COVID-RMA034,Lasso Regression,0.9,76502325987,276590.5385,217754.49
Vaccine Impact,COVID-RMA035,Linear Regression,0.9,76502405037,276590.6814,217755.25
Vaccine Impact,COVID-RMA036,Bayesian Ridge Regression,0.9,76502045355,276590.0312,217753.25
Vaccine Impact,COVID-RMA037,Elastic Net Regression,0.8,1.57E+11,395795.4017,297726.27
Vaccine Impact,COVID-RMA038,Ridge Regression,0.96,1497240.39,1223.617747,749.63
Vaccine Impact,COVID-RMA039,Lasso Regression,0.96,1496988.71,1223.5149,751.33
Vaccine Impact,COVID-RMA040,Linear Regression,0.96,1497265.17,1223.627872,749.52
Vaccine Impact,COVID-RMA041,Bayesian Ridge Regression,0.96,1497263.24,1223.627084,749.53
