areaCode,areaName,areaType,date,cumReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDateRate
E12000001,North East,region,18/01/2023,83126,3100.8
E12000001,North East,region,17/01/2023,83096,3099.7
E12000001,North East,region,16/01/2023,83060,3098.4
E12000001,North East,region,15/01/2023,83006,3096.4
E12000001,North East,region,14/01/2023,82975,3095.2
E12000001,North East,region,13/01/2023,82950,3094.3
E12000001,North East,region,12/01/2023,82906,3092.6
E12000001,North East,region,11/01/2023,82856,3090.8
E12000001,North East,region,10/01/2023,82795,3088.5
E12000001,North East,region,09/01/2023,82738,3086.4
E12000001,North East,region,08/01/2023,82675,3084
E12000001,North East,region,07/01/2023,82634,3082.5
E12000001,North East,region,06/01/2023,82598,3081.1
E12000001,North East,region,05/01/2023,82533,3078.7
E12000001,North East,region,04/01/2023,82453,3075.7
E12000001,North East,region,03/01/2023,82363,3072.4
E12000001,North East,region,02/01/2023,82243,3067.9
E12000001,North East,region,01/01/2023,82169,3065.1
E12000001,North East,region,31/12/2022,82136,3063.9
E12000001,North East,region,30/12/2022,82072,3061.5
E12000001,North East,region,29/12/2022,81981,3058.1
E12000001,North East,region,28/12/2022,81852,3053.3
E12000001,North East,region,27/12/2022,81733,3048.9
E12000001,North East,region,26/12/2022,81639,3045.4
E12000001,North East,region,25/12/2022,81581,3043.2
E12000001,North East,region,24/12/2022,81540,3041.7
E12000001,North East,region,23/12/2022,81488,3039.7
E12000001,North East,region,22/12/2022,81439,3037.9
E12000001,North East,region,21/12/2022,81373,3035.4
E12000001,North East,region,20/12/2022,81269,3031.6
E12000001,North East,region,19/12/2022,81160,3027.5
E12000001,North East,region,18/12/2022,81053,3023.5
E12000001,North East,region,17/12/2022,80995,3021.3
E12000001,North East,region,16/12/2022,80950,3019.7
E12000001,North East,region,15/12/2022,80866,3016.5
E12000001,North East,region,14/12/2022,80784,3013.5
E12000001,North East,region,13/12/2022,80703,3010.4
E12000001,North East,region,12/12/2022,80626,3007.6
E12000001,North East,region,11/12/2022,80549,3004.7
E12000001,North East,region,10/12/2022,80478,3002.1
E12000001,North East,region,09/12/2022,80430,3000.3
E12000001,North East,region,08/12/2022,80376,2998.3
E12000001,North East,region,07/12/2022,80315,2996
E12000001,North East,region,06/12/2022,80238,2993.1
E12000001,North East,region,05/12/2022,80150,2989.8
E12000001,North East,region,04/12/2022,80047,2986
E12000001,North East,region,03/12/2022,79991,2983.9
E12000001,North East,region,02/12/2022,79949,2982.3
E12000001,North East,region,01/12/2022,79898,2980.4
E12000001,North East,region,30/11/2022,79837,2978.1
E12000001,North East,region,29/11/2022,79772,2975.7
E12000001,North East,region,28/11/2022,79700,2973
E12000001,North East,region,27/11/2022,79627,2970.3
E12000001,North East,region,26/11/2022,79568,2968.1
E12000001,North East,region,25/11/2022,79543,2967.2
E12000001,North East,region,24/11/2022,79513,2966.1
E12000001,North East,region,23/11/2022,79454,2963.9
E12000001,North East,region,22/11/2022,79411,2962.3
E12000001,North East,region,21/11/2022,79344,2959.8
E12000001,North East,region,20/11/2022,79287,2957.6
E12000001,North East,region,19/11/2022,79247,2956.1
E12000001,North East,region,18/11/2022,79210,2954.8
E12000001,North East,region,17/11/2022,79168,2953.2
E12000001,North East,region,16/11/2022,79114,2951.2
E12000001,North East,region,15/11/2022,79069,2949.5
E12000001,North East,region,14/11/2022,79024,2947.8
E12000001,North East,region,13/11/2022,78960,2945.4
E12000001,North East,region,12/11/2022,78904,2943.3
E12000001,North East,region,11/11/2022,78870,2942.1
E12000001,North East,region,10/11/2022,78825,2940.4
E12000001,North East,region,09/11/2022,78775,2938.5
E12000001,North East,region,08/11/2022,78701,2935.8
E12000001,North East,region,07/11/2022,78636,2933.3
E12000001,North East,region,06/11/2022,78575,2931.1
E12000001,North East,region,05/11/2022,78507,2928.5
E12000001,North East,region,04/11/2022,78473,2927.3
E12000001,North East,region,03/11/2022,78429,2925.6
E12000001,North East,region,02/11/2022,78375,2923.6
E12000001,North East,region,01/11/2022,78300,2920.8
E12000001,North East,region,31/10/2022,78224,2918
E12000001,North East,region,30/10/2022,78127,2914.4
E12000001,North East,region,29/10/2022,78054,2911.6
E12000001,North East,region,28/10/2022,78014,2910.1
E12000001,North East,region,27/10/2022,77954,2907.9
E12000001,North East,region,26/10/2022,77874,2904.9
E12000001,North East,region,25/10/2022,77779,2901.4
E12000001,North East,region,24/10/2022,77691,2898.1
E12000001,North East,region,23/10/2022,77588,2894.3
E12000001,North East,region,22/10/2022,77504,2891.1
E12000001,North East,region,21/10/2022,77418,2887.9
E12000001,North East,region,20/10/2022,77319,2884.2
E12000001,North East,region,19/10/2022,77223,2880.6
E12000001,North East,region,18/10/2022,77129,2877.1
E12000001,North East,region,17/10/2022,77002,2872.4
E12000001,North East,region,16/10/2022,76845,2866.5
E12000001,North East,region,15/10/2022,76732,2862.3
E12000001,North East,region,14/10/2022,76640,2858.9
E12000001,North East,region,13/10/2022,76547,2855.4
E12000001,North East,region,12/10/2022,76450,2851.8
E12000001,North East,region,11/10/2022,76330,2847.3
E12000001,North East,region,10/10/2022,76203,2842.6
E12000001,North East,region,09/10/2022,76046,2836.7
E12000001,North East,region,08/10/2022,75895,2831.1
E12000001,North East,region,07/10/2022,75820,2828.3
E12000001,North East,region,06/10/2022,75690,2823.4
E12000001,North East,region,05/10/2022,75548,2818.2
E12000001,North East,region,04/10/2022,75414,2813.2
E12000001,North East,region,03/10/2022,75276,2808
E12000001,North East,region,02/10/2022,75115,2802
E12000001,North East,region,01/10/2022,74992,2797.4
E12000001,North East,region,30/09/2022,74904,2794.1
E12000001,North East,region,29/09/2022,74801,2790.3
E12000001,North East,region,28/09/2022,74670,2785.4
E12000001,North East,region,27/09/2022,74537,2780.4
E12000001,North East,region,26/09/2022,74392,2775
E12000001,North East,region,25/09/2022,74238,2769.3
E12000001,North East,region,24/09/2022,74131,2765.3
E12000001,North East,region,23/09/2022,74056,2762.5
E12000001,North East,region,22/09/2022,73976,2759.5
E12000001,North East,region,21/09/2022,73839,2754.4
E12000001,North East,region,20/09/2022,73746,2750.9
E12000001,North East,region,19/09/2022,73612,2745.9
E12000001,North East,region,18/09/2022,73496,2741.6
E12000001,North East,region,17/09/2022,73430,2739.1
E12000001,North East,region,16/09/2022,73379,2737.2
E12000001,North East,region,15/09/2022,73316,2734.9
E12000001,North East,region,14/09/2022,73223,2731.4
E12000001,North East,region,13/09/2022,73132,2728
E12000001,North East,region,12/09/2022,73062,2725.4
E12000001,North East,region,11/09/2022,72969,2721.9
E12000001,North East,region,10/09/2022,72903,2719.5
E12000001,North East,region,09/09/2022,72865,2718.1
E12000001,North East,region,08/09/2022,72811,2716.1
E12000001,North East,region,07/09/2022,72748,2713.7
E12000001,North East,region,06/09/2022,72697,2711.8
E12000001,North East,region,05/09/2022,72640,2709.7
E12000001,North East,region,04/09/2022,72552,2706.4
E12000001,North East,region,03/09/2022,72490,2704.1
E12000001,North East,region,02/09/2022,72444,2702.4
E12000001,North East,region,01/09/2022,72404,2700.9
E12000001,North East,region,31/08/2022,72358,2699.2
E12000001,North East,region,30/08/2022,72306,2697.2
E12000001,North East,region,29/08/2022,72225,2694.2
E12000001,North East,region,28/08/2022,72158,2691.7
E12000001,North East,region,27/08/2022,72124,2690.4
E12000001,North East,region,26/08/2022,72083,2688.9
E12000001,North East,region,25/08/2022,72037,2687.2
E12000001,North East,region,24/08/2022,71986,2685.3
E12000001,North East,region,23/08/2022,71928,2683.1
E12000001,North East,region,22/08/2022,71863,2680.7
E12000001,North East,region,21/08/2022,71786,2677.8
E12000001,North East,region,20/08/2022,71716,2675.2
E12000001,North East,region,19/08/2022,71678,2673.8
E12000001,North East,region,18/08/2022,71637,2672.3
E12000001,North East,region,17/08/2022,71585,2670.3
E12000001,North East,region,16/08/2022,71522,2668
E12000001,North East,region,15/08/2022,71470,2666
E12000001,North East,region,14/08/2022,71394,2663.2
E12000001,North East,region,13/08/2022,71326,2660.7
E12000001,North East,region,12/08/2022,71265,2658.4
E12000001,North East,region,11/08/2022,71197,2655.8
E12000001,North East,region,10/08/2022,71128,2653.3
E12000001,North East,region,09/08/2022,71038,2649.9
E12000001,North East,region,08/08/2022,70939,2646.2
E12000001,North East,region,07/08/2022,70839,2642.5
E12000001,North East,region,06/08/2022,70748,2639.1
E12000001,North East,region,05/08/2022,70681,2636.6
E12000001,North East,region,04/08/2022,70579,2632.8
E12000001,North East,region,03/08/2022,70480,2629.1
