areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
E12000001,North East,region,2022-12-21,2090124,1995491,0,0
E12000001,North East,region,2022-12-20,2090838,1996196,0,0
E12000001,North East,region,2022-12-19,2090838,1996196,0,0
E12000001,North East,region,2022-12-18,2090838,1996196,0,0
E12000001,North East,region,2022-12-17,2090838,1996196,0,0
E12000001,North East,region,2022-12-16,2090838,1996196,0,0
E12000001,North East,region,2022-12-15,2090838,1996196,0,0
E12000001,North East,region,2022-12-14,2090838,1996196,4026,3845
E12000001,North East,region,2022-12-13,2086812,1992351,0,0
E12000001,North East,region,2022-12-12,2086812,1992351,0,0
E12000001,North East,region,2022-12-11,2086812,1992351,0,0
E12000001,North East,region,2022-12-10,2086812,1992351,0,0
E12000001,North East,region,2022-12-09,2086812,1992351,0,0
E12000001,North East,region,2022-12-08,2086812,1992351,0,0
E12000001,North East,region,2022-12-07,2086812,1992351,0,0
E12000001,North East,region,2022-12-06,2086948,1992441,0,0
E12000001,North East,region,2022-12-05,2087079,1992565,0,0
E12000001,North East,region,2022-12-04,2087176,1992664,0,0
E12000001,North East,region,2022-12-03,2087176,1992664,0,0
E12000001,North East,region,2022-12-02,2087176,1992664,0,0
E12000001,North East,region,2022-12-01,2087176,1992664,0,0
E12000001,North East,region,2022-11-30,2087176,1992664,0,0
E12000001,North East,region,2022-11-29,2087368,1992817,0,0
E12000001,North East,region,2022-11-28,2087368,1992817,0,0
E12000001,North East,region,2022-11-27,2087368,1992817,0,0
E12000001,North East,region,2022-11-26,2087368,1992817,0,0
E12000001,North East,region,2022-11-25,2087368,1992817,0,0
E12000001,North East,region,2022-11-24,2087368,1992817,0,0
E12000001,North East,region,2022-11-23,2087368,1992817,0,0
E12000001,North East,region,2022-11-22,2087710,1993150,0,0
E12000001,North East,region,2022-11-21,2087710,1993150,0,0
E12000001,North East,region,2022-11-20,2087710,1993150,0,0
E12000001,North East,region,2022-11-19,2087710,1993150,0,0
E12000001,North East,region,2022-11-18,2087710,1993150,0,0
E12000001,North East,region,2022-11-17,2087710,1993150,0,0
E12000001,North East,region,2022-11-16,2087710,1993150,0,0
E12000001,North East,region,2022-11-15,2087829,1993265,0,0
E12000001,North East,region,2022-11-14,2087829,1993265,0,0
E12000001,North East,region,2022-11-13,2087829,1993265,0,0
E12000001,North East,region,2022-11-12,2087829,1993265,0,0
E12000001,North East,region,2022-11-11,2087829,1993265,0,0
E12000001,North East,region,2022-11-10,2087829,1993265,0,0
E12000001,North East,region,2022-11-09,2087829,1993265,0,0
E12000001,North East,region,2022-11-08,2088318,1993780,0,0
E12000001,North East,region,2022-11-07,2088318,1993780,0,0
E12000001,North East,region,2022-11-06,2088318,1993780,0,0
E12000001,North East,region,2022-11-05,2088318,1993780,0,0
E12000001,North East,region,2022-11-04,2088318,1993780,0,0
E12000001,North East,region,2022-11-03,2088318,1993780,0,0
E12000001,North East,region,2022-11-02,2088318,1993780,0,0
E12000001,North East,region,2022-11-01,2088444,1993879,0,0
E12000001,North East,region,2022-10-31,2088444,1993879,0,0
E12000001,North East,region,2022-10-30,2088444,1993879,0,0
E12000001,North East,region,2022-10-29,2088444,1993879,0,0
E12000001,North East,region,2022-10-28,2088444,1993879,0,0
E12000001,North East,region,2022-10-27,2088444,1993879,0,0
E12000001,North East,region,2022-10-26,2088444,1993879,0,0
E12000001,North East,region,2022-10-25,2088555,1993921,0,0
E12000001,North East,region,2022-10-24,2088555,1993921,0,0
E12000001,North East,region,2022-10-23,2088555,1993921,0,0
E12000001,North East,region,2022-10-22,2088555,1993921,0,0
E12000001,North East,region,2022-10-21,2088555,1993921,0,0
E12000001,North East,region,2022-10-20,2088555,1993921,0,0
E12000001,North East,region,2022-10-19,2088555,1993921,0,0
E12000001,North East,region,2022-10-18,2088859,1994150,0,0
E12000001,North East,region,2022-10-17,2088859,1994150,0,0
E12000001,North East,region,2022-10-16,2088859,1994150,0,0
E12000001,North East,region,2022-10-15,2088859,1994150,0,0
E12000001,North East,region,2022-10-14,2088859,1994150,0,0
E12000001,North East,region,2022-10-13,2088859,1994150,0,0
E12000001,North East,region,2022-10-12,2088859,1994150,0,29
E12000001,North East,region,2022-10-11,2088882,1994121,0,0
E12000001,North East,region,2022-10-10,2088882,1994121,0,0
E12000001,North East,region,2022-10-09,2088882,1994121,0,0
E12000001,North East,region,2022-10-08,2088882,1994121,0,0
E12000001,North East,region,2022-10-07,2088882,1994121,0,0
E12000001,North East,region,2022-10-06,2088882,1994121,0,0
E12000001,North East,region,2022-10-05,2088882,1994121,86,206
E12000001,North East,region,2022-10-04,2088796,1993915,0,0
E12000001,North East,region,2022-10-03,2088796,1993915,0,0
E12000001,North East,region,2022-10-02,2088796,1993915,0,0
E12000001,North East,region,2022-10-01,2088796,1993915,0,0
E12000001,North East,region,2022-09-30,2088796,1993915,0,0
E12000001,North East,region,2022-09-29,2088796,1993915,0,0
E12000001,North East,region,2022-09-28,2088796,1993915,257,313
E12000001,North East,region,2022-09-27,2088539,1993602,0,0
E12000001,North East,region,2022-09-26,2088539,1993602,0,0
E12000001,North East,region,2022-09-25,2088539,1993602,0,0
E12000001,North East,region,2022-09-24,2088539,1993602,0,0
E12000001,North East,region,2022-09-23,2088539,1993602,0,0
E12000001,North East,region,2022-09-22,2088539,1993602,0,0
E12000001,North East,region,2022-09-21,2088539,1993602,0,26
E12000001,North East,region,2022-09-20,2088626,1993576,0,0
E12000001,North East,region,2022-09-19,2088626,1993576,0,0
E12000001,North East,region,2022-09-18,2088626,1993576,0,0
E12000001,North East,region,2022-09-17,2088626,1993576,0,0
E12000001,North East,region,2022-09-16,2088626,1993576,0,0
E12000001,North East,region,2022-09-15,2088626,1993576,0,0
E12000001,North East,region,2022-09-14,2088626,1993576,0,0
E12000001,North East,region,2022-09-13,2089062,1993824,0,0
E12000001,North East,region,2022-09-12,2089062,1993824,0,0
E12000001,North East,region,2022-09-11,2089062,1993824,0,0
E12000001,North East,region,2022-09-10,2089062,1993824,0,0
E12000001,North East,region,2022-09-09,2089062,1993824,0,0
E12000001,North East,region,2022-09-08,2089062,1993824,0,0
E12000001,North East,region,2022-09-07,2089062,1993824,0,0
E12000001,North East,region,2022-09-06,2089545,1994005,0,0
E12000001,North East,region,2022-09-05,2089545,1994005,0,0
E12000001,North East,region,2022-09-04,2089545,1994005,0,0
E12000001,North East,region,2022-09-03,2089545,1994005,0,0
E12000001,North East,region,2022-09-02,2089545,1994005,0,0
E12000001,North East,region,2022-09-01,2089545,1994005,0,0
E12000001,North East,region,2022-08-31,2089545,1994005,0,0
E12000001,North East,region,2022-08-30,2089545,1994005,0,150
E12000001,North East,region,2022-08-29,2089714,1993855,0,0
E12000001,North East,region,2022-08-28,2089714,1993855,0,0
E12000001,North East,region,2022-08-27,2089714,1993855,0,0
E12000001,North East,region,2022-08-26,2089714,1993855,0,0
E12000001,North East,region,2022-08-25,2089714,1993855,0,0
E12000001,North East,region,2022-08-24,2089714,1993855,0,0
E12000001,North East,region,2022-08-23,2089714,1993855,0,30
E12000001,North East,region,2022-08-22,2090068,1993825,0,0
E12000001,North East,region,2022-08-21,2090068,1993825,0,0
E12000001,North East,region,2022-08-20,2090068,1993825,0,0
E12000001,North East,region,2022-08-19,2090068,1993825,0,0
E12000001,North East,region,2022-08-18,2090068,1993825,0,0
E12000001,North East,region,2022-08-17,2090068,1993825,0,0
E12000001,North East,region,2022-08-16,2090068,1993825,0,228
E12000001,North East,region,2022-08-15,2090229,1993597,0,0
E12000001,North East,region,2022-08-14,2090229,1993597,0,0
E12000001,North East,region,2022-08-13,2090229,1993597,0,0
E12000001,North East,region,2022-08-12,2090229,1993597,0,0
E12000001,North East,region,2022-08-11,2090229,1993597,0,0
E12000001,North East,region,2022-08-10,2090229,1993597,0,0
E12000001,North East,region,2022-08-09,2090229,1993597,0,284
E12000001,North East,region,2022-08-08,2090663,1993313,0,0
E12000001,North East,region,2022-08-07,2090663,1993313,0,0
E12000001,North East,region,2022-08-06,2090663,1993313,0,0
E12000001,North East,region,2022-08-05,2090663,1993313,0,0
E12000001,North East,region,2022-08-04,2090663,1993313,0,0
E12000001,North East,region,2022-08-03,2090663,1993313,0,0
E12000001,North East,region,2022-08-02,2090663,1993313,0,498
E12000001,North East,region,2022-08-01,2091132,1992815,0,0
E12000001,North East,region,2022-07-31,2091132,1992815,0,0
E12000001,North East,region,2022-07-30,2091132,1992815,0,0
E12000001,North East,region,2022-07-29,2091132,1992815,0,0
E12000001,North East,region,2022-07-28,2091132,1992815,0,0
E12000001,North East,region,2022-07-27,2091132,1992815,0,0
E12000001,North East,region,2022-07-26,2091132,1992815,0,542
E12000001,North East,region,2022-07-25,2091573,1992273,0,0
E12000001,North East,region,2022-07-24,2091573,1992273,0,0
E12000001,North East,region,2022-07-23,2091573,1992273,0,0
E12000001,North East,region,2022-07-22,2091573,1992273,0,0
E12000001,North East,region,2022-07-21,2091573,1992273,0,0
E12000001,North East,region,2022-07-20,2091573,1992273,0,0
E12000001,North East,region,2022-07-19,2091573,1992273,0,770
E12000001,North East,region,2022-07-18,2091941,1991503,0,0
E12000001,North East,region,2022-07-17,2091941,1991503,0,0
E12000001,North East,region,2022-07-16,2091941,1991503,0,0
E12000001,North East,region,2022-07-15,2091941,1991503,0,0
E12000001,North East,region,2022-07-14,2091941,1991503,0,0
E12000001,North East,region,2022-07-13,2091941,1991503,0,0
E12000001,North East,region,2022-07-12,2091941,1991503,0,663
E12000001,North East,region,2022-07-11,2092313,1990840,0,0
E12000001,North East,region,2022-07-10,2092313,1990840,0,0
E12000001,North East,region,2022-07-09,2092313,1990840,0,0
E12000001,North East,region,2022-07-08,2092313,1990840,0,0
E12000001,North East,region,2022-07-07,2092313,1990840,0,0
E12000001,North East,region,2022-07-06,2092313,1990840,0,0
E12000001,North East,region,2022-07-05,2092313,1990840,0,614
E12000001,North East,region,2022-07-04,2092431,1990226,0,0
E12000001,North East,region,2022-07-03,2092431,1990226,0,0
E12000001,North East,region,2022-07-02,2092431,1990226,0,0
E12000001,North East,region,2022-07-01,2092431,1990226,0,0
E12000001,North East,region,2022-06-30,2092431,1990226,0,16
E12000001,North East,region,2022-06-29,2092472,1990210,0,75
E12000001,North East,region,2022-06-28,2092530,1990135,0,0
E12000001,North East,region,2022-06-27,2092666,1990200,22,138
E12000001,North East,region,2022-06-26,2092644,1990062,0,529
E12000001,North East,region,2022-06-25,2092707,1989533,0,0
E12000001,North East,region,2022-06-24,2092707,1989533,0,0
E12000001,North East,region,2022-06-23,2092707,1989533,0,40
E12000001,North East,region,2022-06-22,2092800,1989493,0,100
E12000001,North East,region,2022-06-21,2092847,1989393,0,0
E12000001,North East,region,2022-06-20,2092970,1989429,27,153
E12000001,North East,region,2022-06-19,2092943,1989276,0,272
E12000001,North East,region,2022-06-18,2093091,1989004,0,0
E12000001,North East,region,2022-06-17,2093091,1989004,0,0
E12000001,North East,region,2022-06-16,2093091,1989004,0,45
E12000001,North East,region,2022-06-15,2093153,1988959,18,115
E12000001,North East,region,2022-06-14,2093135,1988844,0,0
E12000001,North East,region,2022-06-13,2093257,1988884,57,159
E12000001,North East,region,2022-06-12,2093200,1988725,27,466
E12000001,North East,region,2022-06-11,2093173,1988259,0,0
E12000001,North East,region,2022-06-10,2093173,1988259,0,0
E12000001,North East,region,2022-06-09,2093173,1988259,0,28
E12000001,North East,region,2022-06-08,2093208,1988231,0,122
E12000001,North East,region,2022-06-07,2093226,1988109,0,0
E12000001,North East,region,2022-06-06,2093426,1988196,43,139
E12000001,North East,region,2022-06-05,2093383,1988057,4,528
E12000001,North East,region,2022-06-04,2093379,1987529,0,0
E12000001,North East,region,2022-06-03,2093379,1987529,0,0
E12000001,North East,region,2022-06-02,2093379,1987529,0,0
E12000001,North East,region,2022-06-01,2093379,1987529,0,0
E12000001,North East,region,2022-05-31,2093379,1987529,0,103
E12000001,North East,region,2022-05-30,2093468,1987426,83,293
E12000001,North East,region,2022-05-29,2093385,1987133,42,690
E12000001,North East,region,2022-05-28,2093343,1986443,0,0
E12000001,North East,region,2022-05-27,2093343,1986443,0,0
E12000001,North East,region,2022-05-26,2093343,1986443,2,167
E12000001,North East,region,2022-05-25,2093341,1986276,0,68
E12000001,North East,region,2022-05-24,2093350,1986208,0,17
E12000001,North East,region,2022-05-23,2093385,1986191,90,251
E12000001,North East,region,2022-05-22,2093295,1985940,83,484
E12000001,North East,region,2022-05-21,2093212,1985456,0,0
E12000001,North East,region,2022-05-20,2093212,1985456,0,0
E12000001,North East,region,2022-05-19,2093212,1985456,83,220
E12000001,North East,region,2022-05-18,2093129,1985236,10,169
E12000001,North East,region,2022-05-17,2093119,1985067,0,15
