areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-11-27,Other,116991.0,1.1
E12000001,North East,region,2022-11-27,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-11-27,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-11-27,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-11-27,V-22JUL-01 (Omicron BA.2.75),116991.0,15.3
E12000001,North East,region,2022-11-27,V-22OCT-01 (Omicron BQ.1),116991.0,56.8
E12000001,North East,region,2022-11-27,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-11-27,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-11-27,VOC-22APR-04 (Omicron BA.5),116991.0,26.1
E12000001,North East,region,2022-11-27,VOC-22JAN-01 (Omicron BA.2),116991.0,0.6
E12000001,North East,region,2022-11-20,Other,116815.0,2.6
E12000001,North East,region,2022-11-20,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-11-20,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-11-20,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-11-20,V-22JUL-01 (Omicron BA.2.75),116815.0,18.4
E12000001,North East,region,2022-11-20,V-22OCT-01 (Omicron BQ.1),116815.0,61.8
E12000001,North East,region,2022-11-20,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-11-20,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-11-20,VOC-22APR-04 (Omicron BA.5),116815.0,17.1
E12000001,North East,region,2022-11-20,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-11-13,Other,116739.0,2.4
E12000001,North East,region,2022-11-13,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-11-13,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-11-13,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-11-13,V-22JUL-01 (Omicron BA.2.75),116739.0,14.5
E12000001,North East,region,2022-11-13,V-22OCT-01 (Omicron BQ.1),116739.0,44.6
E12000001,North East,region,2022-11-13,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-11-13,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-11-13,VOC-22APR-04 (Omicron BA.5),116739.0,38.5
E12000001,North East,region,2022-11-13,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-11-06,Other,116656.0,5.7
E12000001,North East,region,2022-11-06,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-11-06,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-11-06,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-11-06,V-22JUL-01 (Omicron BA.2.75),116656.0,8.5
E12000001,North East,region,2022-11-06,V-22OCT-01 (Omicron BQ.1),116656.0,34.0
E12000001,North East,region,2022-11-06,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-11-06,VOC-22APR-03 (Omicron BA.4),0.0,0.0
